Ticket ID,Title,Type,Priority,Story Points,Owner,Status,Dependencies,Description
FM-AT-14,Implement guided-start component tests for required structure and copy,Frontend,P0,4,Frontend,Not started,None,Protect guided-start screen from drift with required structure tests
FM-AT-15,Implement guided-start anti-drift tests for form/survey/chat UI violations,Frontend,P0,5,Frontend,Not started,FM-AT-14,Ensure guided-start does not degrade into survey or chatbot UI
FM-AT-16,Implement reflection-screen structural tests,Frontend,P0,5,Frontend,Not started,FM-AT-08,Protect reflection-screen structure and observation count
FM-AT-17,Implement reflection-screen banned-phrase and verbosity guard tests,Frontend / Product,P0,5,Frontend,Not started,FM-AT-16,Add copy guardrail automation for reflection output (banned phrases and length)
FM-AT-18,Implement strongest-direction screen structural tests,Frontend,P0,5,Frontend,Not started,FM-AT-08,Protect required section structure on main value screen
FM-AT-19,Implement strongest-direction anti-drift tests for score/report/taxonomy exposure,Frontend,P0,4,Frontend,Not started,FM-AT-18,Prevent strongest-direction from devolving into report UI
FM-AT-20,Implement compare-screen structure and unequal-hierarchy tests,Frontend,P0,5,Frontend,Not started,FM-AT-12,Protect compare-screen from becoming equal-options menu
FM-AT-21,Implement compare-screen anti-menu interaction tests,Frontend,P0,4,Frontend,Not started,FM-AT-20,Ensure compare-screen does not behave like brainstorm selector
FM-AT-22,Implement one-question recovery structural tests,Frontend,P0,4,Frontend,Not started,FM-AT-10,Protect one-question recovery from survey drift
FM-AT-23,Implement timeout-path loading and fallback tests,Frontend / QA,P0,5,QA,Not started,"FM-AT-02, FM-AT-08",Test timeout behavior for intake submit path
FM-AT-24,Implement recoverable backend/network failure tests,Frontend / QA,P0,5,QA,Not started,FM-AT-08,Test transient backend failures and retry flow
FM-AT-25,Implement safe handling tests for compare-unavailable and recovery-question-unavailable states,Frontend / QA,P0,4,QA,Not started,FM-AT-06,Test missing compare and missing recovery-question scenarios
FM-AT-26,Define first-minute analytics event schema and validation contract,Analytics / Platform,P0,4,Analytics,Not started,FM-AT-01,Lock canonical event names and required payload fields for first-minute funnel
FM-AT-27,Implement analytics smoke tests for first-minute event firing,Analytics / QA,P0,5,Analytics,Not started,"FM-AT-26, FM-AT-07, FM-AT-08, FM-AT-09, FM-AT-10, FM-AT-11, FM-AT-12",Validate key first-minute events fire on correct user actions
FM-AT-28,Implement analytics payload validation and duplicate-fire protection tests,Analytics,P0,4,Analytics,Not started,"FM-AT-26, FM-AT-27",Ensure fired events include required fields and do not double-fire
FM-AT-29,Implement first-minute latency measurement tests and CI thresholds,Frontend / Platform,P0,5,Frontend,Not started,"FM-AT-08, FM-AT-10, FM-AT-23",Measure and enforce performance thresholds across first-minute flow
FM-AT-30,Implement desktop visual regression snapshots for core first-minute screens,Frontend / QA,P1,5,Frontend,Not started,"FM-AT-14, FM-AT-15, FM-AT-16, FM-AT-17, FM-AT-18, FM-AT-19, FM-AT-20, FM-AT-21, FM-AT-22",Capture and validate desktop snapshots for key screens
FM-AT-31,Implement mobile visual regression snapshots for core first-minute screens,Frontend / QA,P1,5,Frontend,Not started,FM-AT-30,Capture mobile-width snapshot coverage for all key first-minute screens
FM-AT-32,Implement compare-screen visual hierarchy regression checks,Frontend,P1,4,Frontend,Not started,"FM-AT-20, FM-AT-30",Protect compare-screen visual dominance of strongest angle
FM-AT-33,Implement prohibited component checks for protected first-minute routes,Frontend,P0,5,Frontend,Not started,"FM-AT-14, FM-AT-15, FM-AT-16, FM-AT-17, FM-AT-18, FM-AT-19, FM-AT-20, FM-AT-21, FM-AT-22",Add automated checks preventing forbidden components on protected routes
FM-AT-34,Implement protected copy-lint checks for banned first-minute language,Frontend / Product,P0,4,Frontend,Not started,FM-AT-17,Create protected list of banned phrases for first-minute routes
FM-AT-35,Configure PR CI pipeline for first-minute automated smoke suite,Platform / QA,P0,4,QA,Not started,"FM-AT-03, FM-AT-04, FM-AT-05, FM-AT-06, FM-AT-07, FM-AT-08, FM-AT-14, FM-AT-16, FM-AT-18, FM-AT-26",Wire critical automated tests into pull-request CI
FM-AT-36,Configure staging pipeline for full first-minute regression suite,Platform / QA,P0,4,QA,Not started,"FM-AT-07, FM-AT-08, FM-AT-09, FM-AT-10, FM-AT-11, FM-AT-12, FM-AT-13, FM-AT-14, FM-AT-15, FM-AT-16, FM-AT-17, FM-AT-18, FM-AT-19, FM-AT-20, FM-AT-21, FM-AT-22, FM-AT-23, FM-AT-24, FM-AT-25, FM-AT-26, FM-AT-27, FM-AT-28, FM-AT-29, FM-AT-30, FM-AT-31, FM-AT-32, FM-AT-33, FM-AT-34",Run full first-minute regression on staging deployments
FM-AT-37,Configure nightly first-minute full-case sweep and trend reporting,Platform / QA / Analytics,P1,5,QA,Not started,FM-AT-36,Set up nightly regression across all fixture outcomes and performance trends
FM-AT-38,Implement first-minute automated release gate rules in CI/staging,Platform / QA,P0,4,QA,Not started,"FM-AT-35, FM-AT-36",Encode release block rules for first-minute automated quality
FM-AT-39,Create first-minute automated defect reporting template and ownership routing,QA / Eng Ops,P1,3,QA,Not started,"FM-AT-35, FM-AT-36",Standardize automated failure output for triage
